datetime,ia
2018-05-08,32.45382
2018-05-09,36.27968
2018-05-10,31.53034
2018-05-11,33.50923
2018-05-12,23.48284
2018-05-13,30.21108
2018-05-14,37.33509
2018-05-15,51.84696
2018-05-16,42.61213
2018-05-17,35.3562
2018-05-18,29.28759
2018-05-19,24.80211
2018-05-20,29.68337
2018-05-21,36.27968
2018-05-22,29.8153
2018-05-23,33.3773
2018-05-24,47.62532
2018-05-25,42.21635
2018-05-26,40.63324
2018-05-27,30.47493
2018-05-28,45.25065
2018-05-29,44.59102
2018-05-30,44.19525
2018-05-31,40.10554
2018-06-01,45.38258
2018-06-02,44.59102
2018-06-03,48.0211
2018-06-04,51.71503
2018-06-05,52.37467
2018-06-06,54.48548
2018-06-07,50.92348
2018-06-08,43.53562
2018-06-09,38.9182
2018-06-10,39.31398
2018-06-11,40.63324
2018-06-12,41.16094
2018-06-13,41.16094
2018-06-14,40.10554
2018-06-15,36.14775
2018-06-16,37.46701
2018-06-17,42.61213
2018-06-18,47.4934
2018-06-19,40.63324
2018-06-20,46.17414
2018-06-21,51.18733
2018-06-22,46.96569
2018-06-23,36.67546
2018-06-24,45.77836
2018-06-25,56.20052
2018-06-26,38.65435
2018-06-27,39.05013
2018-06-28,32.58575
2018-06-29,38.78627
2018-06-30,36.14775
2018-07-01,32.58575
2018-07-02,34.16886
2018-07-03,45.38258
2018-07-04,55.93667
2018-07-05,43.53562
2018-07-06,33.24538
2018-07-07,32.45382
2018-07-08,31.13456
2018-07-09,35.48812
2018-07-10,41.68865
2018-07-11,46.70184
2018-07-12,60.68601
2018-07-13,58.57519
2018-07-14,50.92348
2018-07-15,57.65171
2018-07-16,72.42744
2018-07-17,66.22691
2018-07-18,72.69129
2018-07-19,74.01055
2018-07-20,63.85224
2018-07-21,50.13192
2018-07-22,63.72031
2018-07-23,76.781
2018-07-24,77.04485
2018-07-25,67.94195
2018-07-26,67.81002
2018-07-27,54.74934
2018-07-28,43.13984
2018-07-29,43.13984
2018-07-30,48.68073
2018-07-31,50.26385
2018-08-01,55.40897
2018-08-02,65.30343
2018-08-03,48.81266
2018-08-04,41.68865
2018-08-05,45.91029
2018-08-06,48.41688
2018-08-07,44.06332
2018-08-08,49.86807
2018-08-09,44.06332
2018-08-10,42.87598
2018-08-11,34.69656
2018-08-12,38.12664
2018-08-13,37.99472
2018-08-14,41.02902
2018-08-15,36.93931
2018-08-16,33.90501
2018-08-17,30.60686
2018-08-18,24.67018
2018-08-19,33.24538
2018-08-20,33.90501
2018-08-21,33.24538
2018-08-22,34.96042
2018-08-23,34.03693
2018-08-24,27.17678
2018-08-25,23.7467
2018-08-26,27.44063
2018-08-27,22.16358
2018-08-28,25.06596
2018-08-29,24.01055
2018-08-30,28.75989
2018-08-31,24.2744
2018-09-01,20.58047
2018-09-02,19.78891
2018-09-03,20.44854
2018-09-04,23.48284
2018-09-05,23.08707
2018-09-06,25.46174
2018-09-07,20.97625
2018-09-08,15.30343
2018-09-09,15.83113
2018-09-10,21.76781
2018-09-11,20.44854
2018-09-12,21.63588
2018-09-13,23.7467
2018-09-14,19.92084
2018-09-15,19.26121
2018-09-16,19.92084
2018-09-17,21.89973
2018-09-18,23.48284
2018-09-19,17.6781
2018-09-20,16.35883
2018-09-21,15.6992
2018-09-22,14.90765
2018-09-23,16.22691
2018-09-24,13.85224
2018-09-25,16.22691
2018-09-26,16.88654
2018-09-27,18.7335
2018-09-28,15.56728
2018-09-29,15.83113
2018-09-30,14.37994
2018-10-01,12.6649
2018-10-02,14.37994
2018-10-03,18.86543
2018-10-04,15.6992
2018-10-05,16.09498
2018-10-06,14.24802
2018-10-07,12.40105
2018-10-08,17.54617
2018-10-09,14.51187
2018-10-10,14.37994
2018-10-11,15.6992
2018-10-12,13.06068
2018-10-13,11.74142
2018-10-14,14.37994
2018-10-15,13.58839
2018-10-16,15.83113
2018-10-17,14.90765
2018-10-18,15.30343
2018-10-19,13.06068
2018-10-20,13.45646
2018-10-21,16.35883
2018-10-22,14.64379
2018-10-23,15.30343
2018-10-24,14.90765
2018-10-25,16.75461
2018-10-26,13.72031
2018-10-27,12.00527
2018-10-28,11.47757
2018-10-29,15.43535
2018-10-30,13.06068
2018-10-31,11.34564
2018-11-01,14.77572
2018-11-02,12.92875
2018-11-03,17.94195
2018-11-04,15.6992
2018-11-05,16.22691
2018-11-06,14.24802
2018-11-07,15.1715
2018-11-08,10.02638
2018-11-09,13.58839
2018-11-10,10.94986
2018-11-11,8.44327
2018-11-12,12.92875
2018-11-13,12.79683
2018-11-14,14.77572
2018-11-15,15.03957
2018-11-16,13.58839
2018-11-17,15.1715
2018-11-18,15.30343
2018-11-19,16.75461
2018-11-20,13.85224
2018-11-21,14.37994
2018-11-22,11.08179
2018-11-23,13.06068
2018-11-24,10.29023
2018-11-25,11.21372
2018-11-26,11.60949
2018-11-27,12.40105
2018-11-28,12.79683
2018-11-29,10.68601
2018-11-30,12.79683
2018-12-01,13.58839
2018-12-02,10.94986
2018-12-03,13.85224
2018-12-04,13.32453
2018-12-05,13.45646
2018-12-06,12.6649
2018-12-07,9.76253
2018-12-08,11.34564
2018-12-09,9.1029
2018-12-10,12.79683
2018-12-11,13.32453
2018-12-12,14.37994
2018-12-13,11.34564
2018-12-14,10.29023
2018-12-15,15.1715
2018-12-16,13.45646
2018-12-17,15.03957
2018-12-18,14.90765
2018-12-19,17.28232
2018-12-20,14.37994
2018-12-21,13.72031
2018-12-22,15.43535
2018-12-23,11.34564
2018-12-24,12.26912
2018-12-25,12.53298
2018-12-26,12.53298
2018-12-27,13.06068
2018-12-28,12.92875
2018-12-29,14.37994
2018-12-30,12.6649
2018-12-31,9.76253
