datetime,americano,cafelatte,cafemoca,caramelmatk,icedamericano,weather_avgtemp,weather_avgmoist,weather_avgwindspeed,weather_rain,weather_maxtemp,weather_maxwindspeed,weather_mintemp
2016-09-24,29.26829,21.51139,21.47141,30.62774,4.63814,20.98518519,70.02564103,1.014814815,0,27.86481481,2.835185185,15.28888889
2016-09-25,30.66773,24.07037,20.59176,31.18752,4.67812,21.67407407,69.8974359,0.872222222,0,28.26111111,2.588888889,17.1462963
2016-09-26,36.50539,23.35065,18.19272,27.78888,5.4778,22.34444444,71.58974359,1.092592593,0,27.98703704,3.309259259,18.20740741
2016-09-27,36.62534,26.82926,20.59176,33.86645,4.75809,20.25283019,88.28947368,0.871698113,12.02830189,23.02641509,2.883018868,18.52641509
2016-09-28,35.42582,21.9912,19.39224,31.46741,5.03798,19.90925926,84.7,0.872222222,0.225925926,22.25,2.631481481,18.19814815
2016-09-29,31.7473,22.9908,18.9924,30.14794,3.95841,19.85740741,69.8974359,1.95,0,23.92222222,3.983333333,17.42407407
2016-09-30,28.26869,20.91163,20.83166,31.82726,4.03838,19.78333333,75.28205128,0.987037037,0,23.77592593,2.457407407,16.96296296
2016-10-01,30.86765,22.2311,20.75169,29.90803,3.15873,20.02777778,79.53846154,0.807407407,0,24.85740741,2.222222222,16.65185185
2016-10-02,31.26749,25.34986,22.9908,33.10675,3.71851,18.81666667,88.20512821,1.631481481,20.74814815,21.94259259,4.938888889,16.71111111
2016-10-03,34.58616,24.19032,21.03158,32.26709,5.75769,22.10185185,79.38461538,1.77962963,17.11666667,27.57222222,5.309259259,17.48333333
2016-10-04,33.70651,24.2303,17.79288,28.34866,5.35785,21.0962963,68.79487179,1.67037037,0,28.22777778,3.742592593,14.60555556
2016-10-05,34.70611,22.07117,18.91243,29.38824,4.87804,20.48518519,70.25641026,2.037037037,1.222222222,26.39814815,4.288888889,16.76481481
2016-10-06,33.30667,22.75089,20.27189,33.2267,5.27788,17.4037037,68.48717949,1.407407407,0,23.27592593,3.314814815,12.98518519
2016-10-07,30.94762,26.54938,17.75289,27.90883,4.19832,18.92037037,74.79487179,1.740740741,2.716666667,24.34074074,3.990740741,14.59259259
2016-10-08,28.30867,25.54978,20.75169,30.82766,3.11875,16.85849057,67.51282051,2.173584906,5.647169811,22.19056604,5.432075472,10.98301887
2016-10-09,31.70731,25.78968,25.18992,34.18632,3.2387,11.46666667,49.075,2.077777778,0,16.56296296,4.4,6.972222222
2016-10-10,33.94642,23.87045,19.47221,33.46661,3.03878,12.59814815,56.275,1.127777778,0,19.9,2.92037037,6.822222222
2016-10-11,33.7465,24.55017,20.55177,33.66653,3.11875,14.59622642,70.81578947,1.098113208,0.009433962,20.68301887,3.016981132,8.790566038
2016-10-12,35.18592,26.2295,21.07157,34.06637,3.43862,14.46481481,65.84615385,1.274074074,0,20.30740741,3.2,10.24444444
2016-10-13,34.42622,25.62974,19.71211,32.70691,3.71851,13.77962963,59.48717949,0.974074074,0,21.0462963,2.859259259,7.983333333
2016-10-14,29.90803,24.67013,19.51219,30.90763,4.59816,15.43333333,72.02564103,0.818518519,0,22.6462963,2.288888889,9.387037037
2016-10-15,28.14874,25.66973,22.71091,31.26749,3.51859,17.52075472,71.13157895,0.835849057,0,25.34528302,2.367924528,11.28113208
2016-10-16,30.86765,26.94922,22.39104,39.02439,3.27868,16.46226415,82.21052632,0.890566038,1.456603774,19.48301887,2.518867925,14.22830189
2016-10-17,34.62614,22.27109,21.91123,32.26709,4.63814,16.96481481,81.07692308,0.996296296,0.061111111,22.13518519,3.124074074,13.4
2016-10-18,34.58616,22.9908,20.63174,32.94682,4.07836,15.63518519,79.84615385,0.888888889,0,22.6,2.522222222,10.82407407
2016-10-19,36.82526,23.2307,22.79088,36.90523,4.83806,16.80740741,75.94871795,0.964814815,0,23.66111111,2.874074074,12.37777778
2016-10-20,33.66653,23.51059,22.19112,32.82686,4.11835,17.40740741,70.76923077,1.237037037,0,24.61296296,3.587037037,11.27037037
2016-10-21,29.94802,21.9912,20.51179,31.82726,3.79848,17.44074074,64.71794872,1.859259259,0,20.96296296,3.803703704,15.14259259
2016-10-22,30.10795,20.95161,18.79248,29.7481,3.11875,17.56481481,67.61538462,1.162962963,0,21.76666667,2.87962963,13.71851852
2016-10-23,38.38464,25.54978,24.63014,34.18632,3.35865,13.25555556,72.8974359,2.257407407,2.712962963,17.64814815,4.311111111,10.07592593
2016-10-24,33.90643,21.71131,20.07197,32.50699,3.91843,14.2037037,63.225,1.488888889,0.009259259,19.67962963,3.305555556,7.938888889
2016-10-25,34.7461,24.51019,20.27189,32.90683,3.55857,13.64074074,88.02564103,1.575925926,35.67037037,18.04259259,4.046296296,11.16296296
2016-10-26,32.14714,23.79048,20.27189,32.82686,3.07876,12.73888889,86.1025641,0.851851852,0,16.47962963,2.705555556,9.425925926
2016-10-27,28.34866,23.11075,18.07277,30.78768,3.03878,14.26481481,74.87179487,1.238888889,0,20.00555556,3.237037037,8.490740741
2016-10-28,28.62854,23.03078,20.75169,29.988,2.75889,14.40740741,68.43589744,1.548148148,0.605555556,18.62222222,4.340740741,10.71481481
2016-10-29,25.90963,19.95201,21.19152,28.90843,2.11915,8.142592593,47.58974359,1.983333333,0,12.07407407,4.035185185,3.366666667
2016-10-30,29.14834,23.67053,22.39104,30.9876,2.63894,6.666666667,47.71794872,0.977777778,0,14.11666667,2.740740741,0.294444444
2016-10-31,32.70691,22.63094,20.03198,32.54698,3.11875,6.122222222,63,1.464814815,0.190740741,9.616666667,3.857407407,1.185185185
2016-11-01,29.78808,25.58976,21.47141,32.42702,2.11915,1.783333333,48.71794872,1.666666667,0,7.085185185,3.687037037,-2.140740741
2016-11-02,31.10755,25.50979,22.03118,35.58576,2.71891,4.024074074,62.23076923,1.075925926,0.218518519,10.37962963,3.272222222,-3.116666667
2016-11-03,31.78728,24.03038,20.83166,31.58736,2.03918,8.768518519,70.58974359,1.222222222,0.475925926,14.1462963,3.811111111,3.831481481
2016-11-04,27.46901,22.59096,18.11275,29.2283,2.15913,12.30925926,70.15384615,2.027777778,0,16.41111111,4.318518519,6.825925926
2016-11-05,26.82926,21.35145,19.43222,28.02878,2.27908,14.75185185,79.17948718,1.796296296,0,18.95,4.396296296,11.34074074
2016-11-06,29.54818,24.63014,19.2323,31.9872,2.91883,14.09259259,63.25641026,2.124074074,0,17.62962963,4.264814815,11.55740741
2016-11-07,31.54738,22.67093,19.91203,31.38744,2.67892,13.1462963,70.43589744,1.887037037,3.746296296,18.00555556,4.192592593,8.907407407
2016-11-08,31.54738,24.63014,19.47221,31.46741,2.55897,4.807407407,59.12820513,2.548148148,0.35,9.035185185,4.544444444,0.616666667
2016-11-09,32.30707,24.83006,20.51179,32.62694,2.95881,2.156603774,49.05263158,1.360377358,0,8.258490566,3.266037736,-2.724528302
2016-11-10,31.18752,23.91043,19.39224,32.82686,2.71891,6.028301887,65.81578947,1.177358491,0.666037736,10.53207547,3.10754717,0.78490566
2016-11-11,27.50899,19.2323,18.2327,26.58936,2.11915,9.205555556,67.33333333,1.755555556,3.824074074,14.39444444,4.740740741,5.155555556
2016-11-12,26.94922,19.39224,17.07317,24.19032,2.11915,11.41320755,67.86842105,1.664150943,0,17.10188679,4.356603774,4.830188679
2016-11-13,28.50859,22.31107,19.75209,27.94882,3.2387,13.96481481,79.07692308,1.038888889,0.522222222,18.1537037,2.812962963,10.49444444
2016-11-14,33.66653,24.59016,19.07237,32.06717,3.83846,13.15740741,84,0.966666667,2.592592593,16.40925926,3.061111111,9.735185185
2016-11-15,34.54618,24.83006,20.07197,29.70811,1.9992,5.772222222,49.28205128,1.957407407,0,11.24814815,4.098148148,1.481481481
2016-11-16,33.90643,25.86965,21.75129,33.62654,2.95881,4.648148148,57.41025641,0.82962963,0,11.21296296,2.316666667,-0.933333333
2016-11-17,34.66613,24.43022,20.51179,33.10675,2.63894,8.012962963,65.20512821,0.8,0,15.16481481,2.5,2.472222222
2016-11-18,31.34746,22.55097,19.63214,30.26789,2.87884,9.538888889,70.48717949,0.951851852,0.388888889,14.83703704,2.57037037,3.409259259
2016-11-19,28.58856,18.67253,17.79288,28.70851,2.79888,12.81666667,76.84615385,1.314814815,0.042592593,17.42592593,3.562962963,8.97962963
2016-11-20,30.30787,22.11115,21.15153,33.58656,3.11875,9.909259259,53.79487179,1.712962963,0,15.09814815,4.327777778,5.175925926
2016-11-21,32.70691,24.99,20.51179,32.46701,2.83886,9.07962963,53.20512821,1.296296296,0,14.11111111,3.687037037,3.740740741
2016-11-22,34.2263,24.39024,21.39144,32.94682,2.75889,3.009259259,44.87179487,2.577777778,0.090740741,8.996296296,4.744444444,-1.203703704
2016-11-23,33.78648,22.95081,20.43182,32.30707,2.63894,-0.944444444,39.48717949,1.933333333,0,4.146296296,4.112962963,-4.375925926
2016-11-24,35.42582,21.15153,21.95121,34.2263,3.11875,-1.864814815,44.35897436,1.542592593,0,2.781481481,3.788888889,-6.118518519
2016-11-25,33.50659,20.67173,19.67213,31.46741,2.75889,0.62962963,53.41025641,0.955555556,0,6.577777778,3.075925926,-4.424074074
2016-11-26,29.82806,24.95001,21.83126,32.82686,2.31907,0.85,76.66666667,1.15,1.227777778,3.218518519,2.866666667,-1.957407407
2016-11-27,31.38744,24.11035,23.47061,34.34626,3.03878,3.4,86.20512821,0.87037037,0.161111111,6.790740741,2.764814815,0.559259259
2016-11-28,35.2259,21.27149,21.07157,35.26589,3.35865,1.738888889,61.48717949,1.57962963,0,6.275925926,3.675925926,-1.561111111
